"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Thu, July 23","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","Team Travels","","","","","","","","","","","","","","","","","",""
"","","3-STANFORD RED","4-KEARNS","","6-NEWPORT BEACH BLUE","","","","","","","","","","","","","","","","","","","",""
"","","22-TEXAS THUNDER BLACK","21-AETOS","","19-MISSION","","","","","","","","","","","","","","","","","","","",""
"","","27-ROSE BOWL RED","28-VNITED A","","30-LB SHORE RED","","","","","","","","","","","","","","","","","","","",""
"","","46-NIPC","45-ELMHURST","","43-LYONS AQUATICS","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","9-SANTA BARBARA WPC A","10-BERKELEY","","12-TROJAN CARDINAL","","","","","","","","","","","","","","","","","","","",""
"","","16-PATRIOT NAVY","15-CC UNITED BLACK","","13-GREENWICH BLUE","","","","","","","","","","","","","","","","","","","",""
"","","33-HONOLULU A","34-NORTHWEST","","36-NARROWS","","","","","","","","","","","","","","","","","","","",""
"","","40-PEGASUS BLUE","39-MIAMI RIPTIDES","","37-LONGHORN","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","16B","","","","","","","","","","","","","",""
"","","","FULLERTON COLLEGE","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group","FULLERTON COLLEGE","1","3-STANFORD RED","19","46-NIPC","1","25","29","16B-001","","","","","","","","","","","","","",""
"23-Jul","7:50 AM","Group","FULLERTON COLLEGE","5","22-TEXAS THUNDER BLACK","5","27-ROSE BOWL RED","8","25","29","16B-005","","","","","","","","","","","","","",""
"23-Jul","8:40 AM","Group","FULLERTON COLLEGE","9","1-SD SHORES BLACK","19","48-BARCELONA LIONS","0","33","37","16B-009","","","","","","","","","","","","","",""
"23-Jul","9:30 AM","Group","FULLERTON COLLEGE","13","24-SAN JOSE FOUNDATION","12","25-SAND CANYON BLACK","9","33","37","16B-013","","","","","","","","","","","","","",""
"23-Jul","10:20 AM","Group","FULLERTON COLLEGE","17","2-LA JOLLA UNITED NAVY","16","47-HONOLULU B","1","41","45","16B-017","","","","","","","","","","","","","",""
"23-Jul","11:10 AM","Group","FULLERTON COLLEGE","21","23-GREENWICH WHITE","8","26-CAPITAL","13","41","45","16B-021","","","","","","","","","","","","","",""
"23-Jul","12:00 PM","Group","FULLERTON COLLEGE","25","W1-STANFORD RED","12","W5-ROSE BOWL RED","4","","50","16B-025","","","","","","","","","","","","","",""
"23-Jul","12:50 PM","Group","FULLERTON COLLEGE","29","L1-NIPC","1","L5-TEXAS THUNDER BLACK","21","49","","16B-029","","","","","","","","","","","","","",""
"23-Jul","1:40 PM","Group","FULLERTON COLLEGE","33","W9-SD SHORES BLACK","8","W13-SAN JOSE FOUNDATION","4","","57","16B-033","","","","","","","","","","","","","",""
"23-Jul","2:30 PM","Group","FULLERTON COLLEGE","37","L9-BARCELONA LIONS","1","L13-SAND CANYON BLACK","16","53","","16B-037","","","","","","","","","","","","","",""
"23-Jul","3:20 PM","Group","FULLERTON COLLEGE","41","W17-LA JOLLA UNITED NAVY","12","W21-CAPITAL","3","","53","16B-041","","","","","","","","","","","","","",""
"23-Jul","4:10 PM","Group","FULLERTON COLLEGE","45","L17-HONOLULU B","6","L21-GREENWICH WHITE","11","57","","16B-045","","","","","","","","","","","","","",""
"23-Jul","5:50 PM","2-3 cross","FULLERTON COLLEGE","49","L26-ELMHURST","2","W29-TEXAS THUNDER BLACK","17","","","16B-049","","","","","","","","","","","","","",""
"23-Jul","6:40 PM","2-3 cross","FULLERTON COLLEGE","53","L41-CAPITAL","8","W37-SAND CANYON BLACK","9","","","16B-053","","","","","","","","","","","","","",""
"23-Jul","7:30 PM","2-3 cross","FULLERTON COLLEGE","57","L33-SAN JOSE FOUNDATION","17","W45-GREENWICH WHITE","7","","","16B-057","","","","","","","","","","","","","",""
"","","","LONG BEACH CC 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group","LONG BEACH CC 1","2","4-KEARNS","8","45-ELMHURST","14","26","30","16B-002","","","","","","","","","","","","","",""
