raw_name,canonical_team_id,reason
11,11-a,alias_lookup
15,15-a,alias_lookup
19-ROUTE 66 AQUATICS,19-route-66-aquatics-a,alias_lookup
1st in A - LA Premier,1st-in-a-la-premier-a,alias_lookup
1st in B - PV Black (A),1st-in-b-pv-black-a,alias_lookup
1st in C - CIU Gold(A),1st-in-c-ciu-gold-a,alias_lookup
1st in D - 908 Yellow (A),1st-in-d-908-yellow-a,alias_lookup
1st in E  - Commerce,1st-in-e-commerce-a,alias_lookup
1st in F - SBWPC A,1st-in-f-sbwpc-a,alias_lookup
1st in G - Gate 14U,1st-in-g-gate-14u-a,alias_lookup
1st in H - South Coast Red (A),1st-in-h-south-coast-red-a,alias_lookup
1stA-BREA OLINDA GOLD,1sta-brea-olinda-gold-a,alias_lookup
1stA-CIU,1sta-ciu-a,alias_lookup
1stA-MISSION A,1sta-mission-a,alias_lookup
1stA-NORTH IRVINE RED,1sta-north-irvine-red-a,alias_lookup
1stB-LA JOLLA UNITED A,1stb-la-jolla-united-a,alias_lookup
1stB-NEWPORT BEACH BLUE,1stb-newport-beach-blue-a,alias_lookup
1stB-ORANGE COUNTY WPC B,1stb-orange-county-wpc-b,alias_lookup
1stC-NORCAL A,1stc-norcal-a,alias_lookup
1stC-VANGUARD BLUE,1stc-vanguard-blue-a,alias_lookup
1stC-VANGUARD SILVER,1stc-vanguard-silver-a,alias_lookup
1stD-ALAMEDA,1std-alameda-a,alias_lookup
1stD-MISSION A,1std-mission-a,alias_lookup
1stD-NEWPORT BEACH SILVER,1std-newport-beach-silver-a,alias_lookup
1stE-908,1ste-908-a,alias_lookup
1stF-COMMERCE,1stf-commerce-a,alias_lookup
1stG-LAWPC,1stg-lawpc-a,alias_lookup
1stG-MISSION WPC A,1stg-mission-wpc-a,alias_lookup
1stG-NORTH IRVINE A,1stg-north-irvine-a,alias_lookup
1stG-PATRIOT NAVY (A),1stg-patriot-navy-a,alias_lookup
1stG-POWAY VALLEY BLACK,1stg-poway-valley-black-a,alias_lookup
1stH-CCU A,1sth-ccu-a,alias_lookup
1stH-GOLD COAST,1sth-gold-coast-a,alias_lookup
1stH-MISSION WPC (A),1sth-mission-wpc-a,alias_lookup
1stH-SKIP,1sth-skip-a,alias_lookup
1stJ-CDM,1stj-cdm-a,alias_lookup
1stJ-DIABLO ALLIANCE B,1stj-diablo-alliance-b,alias_lookup
1stJ-LA JOLLA UNITED NAVY,1stj-la-jolla-united-navy-a,alias_lookup
1stK-680 B,1stk-680-b,alias_lookup
1stK-TSUNAMI BLUE,1stk-tsunami-blue-a,alias_lookup
1stL-NORCAL B,1stl-norcal-b,alias_lookup
1stM-BACK BAY,1stm-back-bay-a,alias_lookup
1stM-STANFORD C,1stm-stanford-c,alias_lookup
1stN-MISSION WPC (B),1stn-mission-wpc-b,canonical_shape_known_club
1stP-CHAWP,1stp-chawp-a,alias_lookup
1stQ-OCWPC RED (B),1stq-ocwpc-red-b,canonical_shape_known_club
1stR-CC UNITED WHITE,1str-cc-united-white-a,alias_lookup
1stR-PATRIOT RED (B),1str-patriot-red-b,canonical_shape_known_club
1stS-STANFORD WHITE,1sts-stanford-white-a,alias_lookup
2,2-a,alias_lookup
20-DEVIL'S GATE,20-devil-s-gate-a,alias_lookup
24-PRIDE RED,24-pride-red-a,alias_lookup
25-AMERICAN RIVER BLUE,25-american-river-blue-a,alias_lookup
26-SOUTH COAST WHITE (B),26-south-coast-white-b,canonical_shape_known_club
2nd in A - Foothill Red (A),2nd-in-a-foothill-red-a,alias_lookup
2nd in B - Rose Bowl Red (A),2nd-in-b-rose-bowl-red-a,alias_lookup
2nd in C - Trojan Cardinal (A),2nd-in-c-trojan-cardinal-a,alias_lookup
2nd in D - Route 66 14U Boys,2nd-in-d-route-66-a,alias_lookup
2nd in E - Temple City,2nd-in-e-temple-city-a,alias_lookup
2nd in F - Shore Red,2nd-in-f-shore-red-a,alias_lookup
2nd in G - ORWP 14U Black (A),2nd-in-g-orwp-14u-black-a,alias_lookup
2nd in H - Pride Black,2nd-in-h-pride-black-a,alias_lookup
2ndA-ORWP A,2nda-orwp-a,alias_lookup
2ndA-PATRIOT A,2nda-patriot-a,alias_lookup
2ndA-SAN DIEGO DONS 14 BLACK,2nda-san-diego-dons-14-black-a,alias_lookup
2ndB-NEWPORT BEACH A,2ndb-newport-beach-a,alias_lookup
2ndB-PATRIOT RED,2ndb-patriot-red-a,alias_lookup
2ndB-SD ECA,2ndb-sd-eca-a,alias_lookup
2ndC-HIELAND,2ndc-hieland-a,alias_lookup
2ndC-SAN DIEGO DONS,2ndc-san-diego-dons-a,alias_lookup
2ndC-SD DONS,2ndc-sd-dons-a,alias_lookup
2ndD-LA PREMIER,2ndd-la-premier-a,alias_lookup
2ndD-MISSION 12A,2ndd-mission-12a-a,alias_lookup
2ndG-PASADENA AC,2ndg-pasadena-ac-a,alias_lookup
2ndG-SOCAL BLACK (A),2ndg-socal-black-a,alias_lookup
2ndG-VANGUARD BLUE,2ndg-vanguard-blue-a,alias_lookup
2ndG-VEGAS RENEGADES,2ndg-vegas-renegades-a,alias_lookup
2ndH-NBWP BLUE (A),2ndh-nbwp-blue-a,alias_lookup
2ndH-SAND CANYON,2ndh-sand-canyon-a,alias_lookup
2ndH-SJ FOUNDATION,2ndh-sj-foundation-a,alias_lookup
2ndJ-LOS ALAMITOS BLUE	,2ndj-los-alamitos-blue-a,alias_lookup
2ndJ-PATRIOT NAVY,2ndj-patriot-navy-a,alias_lookup
2ndJ-TITANS,2ndj-titans-a,alias_lookup
2ndK-NORTH IRVINE BLACK (A),2ndk-north-irvine-black-a,alias_lookup
2ndK-SOUTH COAST WHITE,2ndk-south-coast-white-a,alias_lookup
2ndL-SUPREME,2ndl-supreme-a,alias_lookup
2ndM-AMERICAN RIVER B,2ndm-american-river-b,alias_lookup
2ndM-SAN CLEMENTE RED (A),2ndm-san-clemente-red-a,alias_lookup
2ndN-SOCAL GOLD (B),2ndn-socal-gold-b,canonical_shape_known_club
2ndP-SET,2ndp-set-a,alias_lookup
2ndQ-SAN CLEMENTE BLACK (B),2ndq-san-clemente-black-b,canonical_shape_known_club
2ndR-BURLINGAME,2ndr-burlingame-a,alias_lookup
2ndR-VANGUARD SILVER (B),2ndr-vanguard-silver-b,canonical_shape_known_club
2ndS-MIDPEN,2nds-midpen-a,alias_lookup
3-CHANNEL ISLANDS UNITED GOLD,3-channel-islands-united-gold-a,alias_lookup
3rd in A - PV Blue (B),3rd-in-a-pv-blue-b,canonical_shape_known_club
3rd in B - 908 Blue (B),3rd-in-b-908-blue-b,canonical_shape_known_club
3rd in C - Titans Gold,3rd-in-c-titans-gold-a,alias_lookup
3rd in D - South Coast White(B),3rd-in-d-south-coast-white-b,canonical_shape_known_club
3rd in E - CIU Coast,3rd-in-e-ciu-coast-a,alias_lookup
3rd in F - Supreme,3rd-in-f-supreme-a,alias_lookup
3rd in G - PAC,3rd-in-g-pac-a,alias_lookup
3rd in H - Valley United,3rd-in-h-valley-united-a,alias_lookup
3rdA-ROUTE 66,3rda-route-66-a,alias_lookup
3rdA-SAND CANYON,3rda-sand-canyon-a,alias_lookup
3rdA-TRILOGY BLACK,3rda-trilogy-black-a,alias_lookup
3rdA-VANGUARD A,3rda-vanguard-a,alias_lookup
3rdB-LAMORINDA,3rdb-lamorinda-a,alias_lookup
3rdB-SAN CLEMENTE BLACK,3rdb-san-clemente-black-a,alias_lookup
3rdB-TROJAN CARDINAL,3rdb-trojan-cardinal-a,alias_lookup
3rdC-GOLD COAST,3rdc-gold-coast-a,alias_lookup
3rdC-OVAC,3rdc-ovac-a,alias_lookup
3rdC-RANCHO TSUNAMI BLUE,3rdc-rancho-tsunami-blue-a,alias_lookup
3rdD-PRIDE RED,3rdd-pride-red-a,alias_lookup
3rdD-SAN DIEGO SHORES,3rdd-san-diego-shores-a,alias_lookup
3rdD-TITANS,3rdd-titans-a,alias_lookup
3rdG-ALAMEDA,3rdg-alameda-a,alias_lookup
3rdG-OCWPC BLUE (A),3rdg-ocwpc-blue-a,alias_lookup
3rdG-PALOS VERDES A,3rdg-palos-verdes-a,alias_lookup
3rdH-LAMORINDA B,3rdh-lamorinda-b,alias_lookup
3rdH-VANGUARD BLUE (A),3rdh-vanguard-blue-a,alias_lookup
3rdJ-CHANNEL ISLANDS UNITED GOLD,3rdj-channel-islands-united-gold-a,alias_lookup
3rdJ-CVU,3rdj-cvu-a,alias_lookup
3rdJ-NBWP WHITE (B),3rdj-nbwp-white-b,canonical_shape_known_club
3rdK-HIELAND,3rdk-hieland-a,alias_lookup
3rdK-VANGUARD B,3rdk-vanguard-b,alias_lookup
3rdL-680 C,3rdl-680-c,alias_lookup
3rdM-CMAC,3rdm-cmac-a,alias_lookup
3rdM-NORTH IRVINE B,3rdm-north-irvine-b,alias_lookup
3rdN-RENEGADES,3rdn-renegades-a,alias_lookup
3rdP-NORTH IRVINE RED (B),3rdp-north-irvine-red-b,canonical_shape_known_club
3rdQ-TMEC WP,3rdq-tmec-wp-a,alias_lookup
3rdR-LAMORINDA C,3rdr-lamorinda-c,alias_lookup
3rdR-SAN CLEMENTE WHITE (C),3rdr-san-clemente-white-c,canonical_shape_known_club
3rdS-TRI-VALLEY TRITONS,3rds-tri-valley-tritons-a,alias_lookup
4th in A - Rose Bowl Black (B),4th-in-a-rose-bowl-black-b,canonical_shape_known_club
4th in B - Trojan Gold (B),4th-in-b-trojan-gold-b,canonical_shape_known_club
4th in C - Foothill Black(B),4th-in-c-foothill-black-b,canonical_shape_known_club
4th in D - ORWP Red (B),4th-in-d-orwp-red-b,canonical_shape_known_club
4th in E  - Loyola,4th-in-e-loyola-a,alias_lookup
4th in F - NGEN,4th-in-f-ngen-a,alias_lookup
4th in G - LA City United,4th-in-g-la-city-united-a,alias_lookup
4th in H - TSM,4th-in-h-tsm-a,alias_lookup
4thA-LAWPC,4tha-lawpc-a,alias_lookup
4thA-TROJAN GOLD,4tha-trojan-gold-a,alias_lookup
4thB-RIVERSIDE,4thb-riverside-a,alias_lookup
4thC-DEVILS GATE,4thc-devils-gate-a,alias_lookup
4thC-TSM,4thc-tsm-a,alias_lookup
4thD-CDM B,4thd-cdm-b,alias_lookup
4thD-SET,4thd-set-a,alias_lookup
6,6-a,alias_lookup
6-PATRIOT NAVY,6-patriot-navy-a,alias_lookup
7-HIELAND,7-hieland-a,alias_lookup
8-SAN CLEMENTE RED,8-san-clemente-red-a,alias_lookup
9-STANFORD BLACK,9-stanford-black-a,alias_lookup
908,908-a,alias_lookup
A1 - LA Premier,la-premier-a,alias_lookup
A1 - La Jolla United A,la-jolla-united-a,alias_lookup
A1 - Loyola,loyola-a,alias_lookup
A1 - San Clem Red,san-clem-red-a,alias_lookup
