"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","5-5-5-5","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","Team Travels","","","","","","","","","","","","","","","","","",""
"","","C(3)-SD SHORES BLACK","D(4)-YOLO","","F(6)-SANTA BARBARA WPC","","","","","","","","","","","","","","","","","","","",""
"","","C(22)-SOUTH COAST RED","D(21)-CHAWP","","F(19)-LA CITY UNITED","","","","","","","","","","","","","","","","","","","",""
"","","C(27)-CORONADO","D(28)-CMAC","","F(30)-SHAQ","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","I(9)-OCWPC BLUE","J(10)-NORTH IRVINE","","L(12)-AMERICAN RIVER","","","","","","","","","","","","","","","","","","","",""
"","","I(16)-PRAETORIAN","J(15)-LAGUNA BLACK","","L(13)-LYONS AQUATICS","","","","","","","","","","","","","","","","","","","",""
"","","I(33)-WEST VALLEY","J(34)-AQUATEX","","L(36)-CARMEL","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","10C","","","","","","","","","","","","","",""
"","","","BECKMAN HS 2","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","L to #","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group A","BECKMAN HS 2","1","A(1)-CHULA VISTA PREMIER","23","A(25)-LA PREMIER BLACK","9","","","10C-001","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group B","BECKMAN HS 2","4","B(2)-PATRIOT NAVY","26","B(26)-DIABLO ALLIANCE A","1","","","10C-004","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group C","BECKMAN HS 2","7","C(3)-SD SHORES BLACK","21","C(27)-CORONADO","1","","","10C-007","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group D","BECKMAN HS 2","10","D(4)-YOLO","18","D(28)-CMAC","2","","","10C-010","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group A","BECKMAN HS 2","13","A(24)-ROSE BOWL RED","11","A(25)-LA PREMIER BLACK","2","","","10C-013","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group B","BECKMAN HS 2","16","B(23)-ASA","8","B(26)-DIABLO ALLIANCE A","15","","","10C-016","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group C","BECKMAN HS 2","19","C(22)-SOUTH COAST RED","19","C(27)-CORONADO","3","","","10C-019","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group D","BECKMAN HS 2","22","D(21)-CHAWP","13","D(28)-CMAC","10","","","10C-022","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group A","BECKMAN HS 2","25","A(1)-CHULA VISTA PREMIER","10","A(24)-ROSE BOWL RED","7","","","10C-025","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group B","BECKMAN HS 2","28","B(2)-PATRIOT NAVY","21","B(23)-ASA","0","","","10C-028","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group C","BECKMAN HS 2","31","C(3)-SD SHORES BLACK","14","C(22)-SOUTH COAST RED","5","","","10C-031","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group D","BECKMAN HS 2","34","D(4)-YOLO","18","D(21)-CHAWP","3","","","10C-034","","","","","","","","","","","","","",""
"18-Jul","","","","","","","","","","","","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","BECKMAN HS 2","37","2nd A-ROSE BOWL RED","15","3rd B-ASA","1","pt_U3","au_N1","10C-037","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","BECKMAN HS 2","40","2nd B-DIABLO ALLIANCE A","7","3rd A-LA PREMIER BLACK","11","pt_T3","au_M1","10C-040","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","BECKMAN HS 2","43","2nd C-SOUTH COAST RED","9","3rd D-CMAC","11","pt_S3","au_P1","10C-043","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","BECKMAN HS 2","46","2nd D-CHAWP","12","3rd C-CORONADO","6","pt_R3","au_O1","10C-046","","","","","","","","","","","","","",""
"","","","EL TORO HS 2","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","L to #","GMID","","","","","","","","","","","","","",""
